epoch,batch_idx,data_type,tot_loss,run_time
0,0,train,0.06946474313735962,0.8253359794616699
0,1,train,0.07527721673250198,0.27676892280578613
0,2,train,0.079171322286129,0.28656721115112305
0,3,train,0.08223575353622437,0.2786870002746582
0,4,train,0.07234619557857513,0.2609069347381592
0,5,train,0.08361972868442535,0.271958589553833
0,6,train,0.07052302360534668,0.2798032760620117
0,7,train,0.07335744798183441,0.2722296714782715
0,8,train,0.08144751191139221,0.2770822048187256
0,9,train,0.07652170956134796,0.2731456756591797
0,10,train,0.07553105056285858,0.2789742946624756
0,11,train,0.07726665586233139,0.2769477367401123
0,12,train,0.0802137702703476,0.2750053405761719
0,13,train,0.08089697360992432,0.2706327438354492
0,14,train,0.07518689334392548,0.29021263122558594
0,15,train,0.0691898837685585,0.27193188667297363
0,16,train,0.07807890325784683,0.2843499183654785
0,17,train,0.07038873434066772,0.2796616554260254
0,18,train,0.07629106938838959,0.2729337215423584
0,19,train,0.07535727322101593,0.2728400230407715
0,20,train,0.08590511977672577,0.27634334564208984
0,21,train,0.07385598123073578,0.2674708366394043
0,22,train,0.07255423814058304,0.2825164794921875
0,23,train,0.07721065729856491,0.2761647701263428
0,24,train,0.08102869242429733,0.27756237983703613
0,25,train,0.06761099398136139,0.26729512214660645
0,26,train,0.07384856045246124,0.28387928009033203
0,27,train,0.07811830937862396,0.2838773727416992
0,28,train,0.07359902560710907,0.28534460067749023
0,29,train,0.07080346345901489,0.2758464813232422
0,30,train,0.08045624941587448,0.28589367866516113
0,31,train,0.07006142288446426,0.28210902214050293
0,32,train,0.06904453039169312,0.28536033630371094
0,33,train,0.0703028067946434,0.27576375007629395
0,34,train,0.07572777569293976,0.28092336654663086
0,35,train,0.07171033322811127,0.2812366485595703
0,36,train,0.08349087834358215,0.2662796974182129
0,37,train,0.07684715837240219,0.28232312202453613
0,38,train,0.07363158464431763,0.2849695682525635
0,39,train,0.0698695033788681,0.27521753311157227
0,40,train,0.07522301375865936,0.28572535514831543
0,41,train,0.09302841126918793,0.3123962879180908
0,42,train,0.07700018584728241,0.2855355739593506
0,43,train,0.07583944499492645,0.266599178314209
0,44,train,0.0733608603477478,0.29381346702575684
0,45,train,0.07497065514326096,0.28175902366638184
0,46,train,0.08046745508909225,0.2779676914215088
0,47,train,0.08660221099853516,0.2828536033630371
0,48,train,0.0720614343881607,0.2806265354156494
0,49,train,0.08393757790327072,0.282381534576416
0,50,train,0.06714928150177002,0.2850468158721924
0,51,train,0.07237669825553894,0.2851903438568115
0,0,val,0.06282898038625717,0.017510175704956055
0,1,val,0.06595861911773682,0.013670206069946289
0,2,val,0.08758138865232468,0.010050773620605469
0,3,val,0.06224538013339043,0.011894941329956055
0,4,val,0.06161124259233475,0.010647773742675781
0,5,val,0.06719494611024857,0.010483741760253906
0,6,val,0.06711385399103165,0.005779266357421875
0,7,val,0.06278228759765625,0.01678013801574707
0,8,val,0.06258363276720047,0.010452747344970703
0,9,val,0.06265173107385635,0.011481285095214844
0,10,val,0.06509236991405487,0.012510538101196289
0,11,val,0.06449368596076965,0.011204719543457031
0,12,val,0.06953894346952438,0.014475345611572266
0,13,val,0.07005136460065842,0.007553577423095703
0,14,val,0.06550916284322739,0.009249687194824219
0,15,val,0.06824865937232971,0.016784191131591797
0,16,val,0.10340254008769989,0.011512517929077148
0,17,val,0.06321553885936737,0.011652469635009766
0,18,val,0.05831260234117508,0.012033224105834961
0,19,val,0.06281895935535431,0.009376287460327148
0,20,val,0.06371758133172989,0.013417720794677734
0,21,val,0.06897591054439545,0.008372306823730469
0,22,val,0.08629834651947021,0.015105485916137695
0,23,val,0.061541758477687836,0.012138605117797852
0,24,val,0.05004487559199333,0.010228633880615234
0,25,val,0.06881900876760483,0.012636423110961914
0,26,val,0.059196606278419495,0.01094365119934082
0,27,val,0.058633655309677124,0.01233816146850586
0,28,val,0.06261640787124634,0.005893230438232422
0,29,val,0.07146644592285156,0.011801481246948242
0,30,val,0.07020401954650879,0.017688512802124023
0,31,val,0.0629214495420456,0.01097249984741211
0,32,val,0.06632131338119507,0.003885984420776367
0,33,val,0.06534714251756668,0.019539594650268555
0,34,val,0.06470470130443573,0.011672019958496094
0,35,val,0.16246651113033295,0.010079622268676758
0,36,val,0.06613904237747192,0.010936260223388672
0,37,val,0.06450407207012177,0.003882884979248047
0,38,val,0.06240496039390564,0.02048468589782715
0,39,val,0.09188386052846909,0.01177215576171875
0,40,val,0.12041869014501572,0.009981870651245117
0,41,val,0.06206997483968735,0.011270999908447266
0,42,val,0.08343877643346786,0.012082576751708984
0,43,val,0.06745687127113342,0.011458158493041992
0,44,val,0.10882905125617981,0.010370969772338867
0,45,val,0.07987993210554123,0.005986928939819336
0,46,val,0.06776359677314758,0.016679048538208008
0,47,val,0.06432729214429855,0.011404991149902344
0,48,val,0.0614999458193779,0.011675834655761719
0,49,val,0.06794595718383789,0.010918140411376953
0,50,val,0.05941634997725487,0.009580612182617188
0,51,val,0.07284223288297653,0.013850688934326172
0,52,val,0.059164803475141525,0.011617183685302734
0,53,val,0.06324681639671326,0.012638330459594727
0,54,val,0.07156719267368317,0.011059284210205078
0,55,val,0.06194119155406952,0.008913993835449219
0,56,val,0.0665227398276329,0.015194177627563477
0,57,val,0.07633040100336075,0.01304316520690918
0,58,val,0.10383894294500351,0.003614187240600586
0,59,val,0.07910093665122986,0.01868271827697754
0,60,val,0.07308664917945862,0.010808944702148438
0,61,val,0.05900882929563522,0.01106715202331543
0,62,val,0.06883706152439117,0.009254217147827148
0,63,val,0.12125640362501144,0.010088443756103516
0,64,val,0.06810536980628967,0.013954639434814453
0,65,val,0.06666557490825653,0.010775089263916016
0,66,val,0.0627104789018631,0.011983633041381836
0,67,val,0.08577103912830353,0.014199256896972656
0,68,val,0.06179196387529373,0.012067794799804688
0,69,val,0.09199951589107513,0.01030731201171875
0,70,val,0.059306737035512924,0.012250185012817383
0,71,val,0.06092633306980133,0.004479408264160156
0,72,val,0.07552284747362137,0.017904281616210938
0,73,val,0.062005143612623215,0.011016368865966797
0,74,val,0.060864951461553574,0.0060825347900390625
0,75,val,0.10469244420528412,0.015819787979125977
0,76,val,0.06581806391477585,0.009163618087768555
0,77,val,0.061867937445640564,0.013950586318969727
0,78,val,0.07889330387115479,0.01166844367980957
0,79,val,0.06338231265544891,0.011441230773925781
0,80,val,0.06505497545003891,0.002891063690185547
0,81,val,0.07052909582853317,0.01992964744567871
0,82,val,0.0626668930053711,0.011316776275634766
